model,siren_class,snr_bin,snr_bin_left,snr_bin_right,snr_bin_center,group_count,seg_precision_mean,seg_precision_std,seg_precision_valid_n,seg_precision_nan_n,seg_f1_mean,seg_f1_std,seg_f1_valid_n,seg_f1_nan_n,seg_balanced_accuracy_mean,seg_balanced_accuracy_std,seg_balanced_accuracy_valid_n,seg_balanced_accuracy_nan_n
EPANNs unified EV,rumbler,"[-42.0, -36.0)",-42.0,-36.0,-39.0,10,0.7318910712253953,0.15141226848165543,10,0,0.34032391806103973,0.1698756749064898,10,0,0.48559594359501446,0.07920182181505009,10,0
EPANNs unified EV,rumbler,"[-36.0, -30.0)",-36.0,-30.0,-33.0,22,0.7721864203082084,0.10537234495794738,22,0,0.309183328751627,0.1677618745966043,22,0,0.4835433129162165,0.06945995628020074,22,0
EPANNs unified EV,rumbler,"[-30.0, -24.0)",-30.0,-24.0,-27.0,25,0.768015989193714,0.15724533020211467,25,0,0.344663835621784,0.16477801122611802,25,0,0.46869453462675603,0.08158290283687994,25,0
EPANNs unified EV,rumbler,"[-24.0, -18.0)",-24.0,-18.0,-21.0,29,0.7013044953543803,0.20481336076378315,29,0,0.36254834964373045,0.21229173834185613,29,0,0.4663190658470972,0.07770241783487604,29,0
EPANNs unified EV,rumbler,"[-18.0, -12.0)",-18.0,-12.0,-15.0,20,0.6656417264399995,0.1784723846017069,20,0,0.39847158334026334,0.2127195357620421,20,0,0.481843077033221,0.07449032253339392,20,0
EPANNs unified EV,rumbler,"[-12.0, -6.0)",-12.0,-6.0,-9.0,19,0.760169070957112,0.1561734504528301,19,0,0.49502646543775003,0.16149627901224933,19,0,0.48492873068957587,0.09710721355565922,19,0
EPANNs unified EV,rumbler,"[-6.0, 0.0)",-6.0,0.0,-3.0,9,0.7536982323344286,0.18928164912178072,9,0,0.5459623563414179,0.3080842424677017,9,0,0.43579795469165883,0.08575518856998568,9,0
EPANNs unified EV,rumbler,"[0.0, 6.0)",0.0,6.0,3.0,1,0.6,,1,0,0.5882352941176471,,1,0,0.4943438914027149,,1,0
EPANNs unified EV,rumbler,"[6.0, 12.0)",6.0,12.0,9.0,0,,,0,0,,,0,0,,,0,0
EPANNs unified EV,rumbler,"[12.0, 18.0)",12.0,18.0,15.0,0,,,0,0,,,0,0,,,0,0
CLAP unified EV,two-tone,"[-54.0, -48.0)",-54.0,-48.0,-51.0,1,0.0,,1,0,0.0,,1,0,0.4642857142857143,,1,0
CLAP unified EV,two-tone,"[-48.0, -42.0)",-48.0,-42.0,-45.0,2,1.0,,1,1,0.0408163265306122,,1,1,0.5052083333333333,0.007365695637359844,2,0
CLAP unified EV,two-tone,"[-42.0, -36.0)",-42.0,-36.0,-39.0,10,1.0,0.0,3,7,0.1014451599817453,0.10290973879546252,3,7,0.5083345224505328,0.019319696959723767,10,0
CLAP unified EV,two-tone,"[-36.0, -30.0)",-36.0,-30.0,-33.0,15,1.0,,1,14,0.0392156862745098,,1,14,0.5006666666666667,0.0025819888974716134,15,0
CLAP unified EV,two-tone,"[-30.0, -24.0)",-30.0,-24.0,-27.0,29,0.9230769230769231,0.2773500981126146,13,16,0.05595862769400516,0.056333669484084505,13,16,0.5061867640663958,0.01321814569515779,29,0
CLAP unified EV,two-tone,"[-24.0, -18.0)",-24.0,-18.0,-21.0,33,0.9757575757575758,0.08111773283374345,22,11,0.07512528619909976,0.052728255393107104,22,11,0.5107425743233047,0.01693483945859319,33,0
CLAP unified EV,two-tone,"[-18.0, -12.0)",-18.0,-12.0,-15.0,22,0.9444444444444444,0.17149858514250885,18,4,0.20487855820493098,0.17971509107389838,18,4,0.5495012833388201,0.07168323858044269,22,0
CLAP unified EV,two-tone,"[-12.0, -6.0)",-12.0,-6.0,-9.0,12,1.0,0.0,12,0,0.2824498012466538,0.25527978391689204,12,0,0.595808911605433,0.10032597075114862,12,0
CLAP unified EV,two-tone,"[-6.0, 0.0)",-6.0,0.0,-3.0,16,0.9426014957264957,0.11224728313597483,16,0,0.44530127746861403,0.25322380608088335,16,0,0.6299466178897629,0.1440134926205693,16,0
CLAP unified EV,two-tone,"[0.0, 6.0)",0.0,6.0,3.0,3,1.0,0.0,3,0,0.525268295760099,0.36191065607726935,3,0,0.704012808757745,0.15941057710126824,3,0
CLAP unified EV,two-tone,"[6.0, 12.0)",6.0,12.0,9.0,0,,,0,0,,,0,0,,,0,0
CLAP unified EV,two-tone,"[12.0, 18.0)",12.0,18.0,15.0,0,,,0,0,,,0,0,,,0,0
EPANNs finetuned AS-EV v2,two-tone,"[-54.0, -48.0)",-54.0,-48.0,-51.0,1,1.0,,1,0,0.0925925925925925,,1,0,0.5242718446601942,,1,0
EPANNs finetuned AS-EV v2,two-tone,"[-48.0, -42.0)",-48.0,-42.0,-45.0,2,0.8,0.28284271247461906,2,0,0.07885835095137415,0.0858095755604817,2,0,0.5011970867535811,0.004794281853771683,2,0
EPANNs finetuned AS-EV v2,two-tone,"[-42.0, -36.0)",-42.0,-36.0,-39.0,10,0.9414414414414414,0.11659620815806114,9,1,0.13031365550329083,0.15727217570314078,9,1,0.5253131135382955,0.04387924613918975,10,0
EPANNs finetuned AS-EV v2,two-tone,"[-36.0, -30.0)",-36.0,-30.0,-33.0,15,0.8418803418803418,0.22006902892701075,13,2,0.11251760924333033,0.11320576106338895,13,2,0.49548216958801095,0.04114297838829641,15,0
EPANNs finetuned AS-EV v2,two-tone,"[-30.0, -24.0)",-30.0,-24.0,-27.0,29,0.817755771186102,0.2357219494880039,27,2,0.20155011874749515,0.11420608843334942,27,2,0.5183192847596133,0.0491786929088291,29,0
EPANNs finetuned AS-EV v2,two-tone,"[-24.0, -18.0)",-24.0,-18.0,-21.0,33,0.9242941798556223,0.1124433640820252,33,0,0.2619649508881592,0.14441235952084416,33,0,0.5486339067627247,0.056630577097644366,33,0
