segment_id,audio_duration,num_inferences,num_gt_events,num_detected,seg_precision,seg_recall,seg_f1,seg_accuracy,seg_balanced_accuracy,seg_error_rate,seg_deletion_rate,seg_insertion_rate,evt_precision,evt_recall,evt_f1,evt_error_rate,evt_deletion_rate,evt_insertion_rate,throughput,cpu_mean,ram_mean_mb,model,siren_class,snr_avg,snr_min,snr_max
phaser_electronic_trapezoid_05_8.012_29.977_i0,40.0,130,1,7,0.9272727272727272,0.7083333333333334,0.8031496062992126,0.7641509433962265,0.795343137254902,0.3472222222222222,0.2916666666666667,0.0555555555555555,0.0,0.0,0.0,7.999999999999998,0.9999999999999998,6.999999999999998,0.9803664536249368,35.437100737100714,1418.3808929668303,EPANNs finetuned AS-EV v2,phaser,-21.484110795003403,-78.8939185553545,17.355885837350506
yelp_electronic_trapezoid_13_9.212_40.000_i0,40.0,130,1,3,1.0,0.198019801980198,0.3305785123966942,0.3769230769230769,0.599009900990099,0.801980198019802,0.801980198019802,0.0,0.0,0.0,0.0,3.999999999999999,0.9999999999999998,3.0,0.9803662840356508,35.31179361179362,1414.4530098280095,EPANNs finetuned AS-EV v2,yelp,-24.928137017351844,-83.98791790259378,8.641507592346274
piercer_electronic_trapezoid_02_5.078_40.000_i0,40.0,130,1,8,1.0,0.1491228070175438,0.2595419847328244,0.2538461538461538,0.5745614035087719,0.8508771929824561,0.8508771929824561,0.0,0.0,0.0,0.0,8.999999999999998,0.9999999999999998,7.999999999999998,0.980363758367765,35.35724815724817,1418.3807777948402,EPANNs finetuned AS-EV v2,piercer,-25.583923617059696,-83.49330646231974,9.759291994336555
phaser_electronic_sawtooth_11_9.722_40.000_i0,40.0,130,1,10,0.8333333333333334,0.1515151515151515,0.2564102564102564,0.3307692307692307,0.5273704789833822,0.8787878787878788,0.8484848484848485,0.0303030303030303,0.0,0.0,0.0,10.999999999999998,0.9999999999999998,9.999999999999998,0.9803596673111662,35.39017199017195,1416.41683622543,EPANNs finetuned AS-EV v2,phaser,-38.67437488612485,-83.26548391125216,-3.3852744467433373
piercer_electronic_square_17_5.942_40.000_i0,40.0,130,1,5,1.0,0.8018018018018018,0.89,0.8307692307692308,0.9009009009009008,0.1981981981981982,0.1981981981981982,0.0,0.0,0.0,0.0,5.999999999999999,0.9999999999999998,4.999999999999999,0.9803640785390106,35.43095823095825,1418.3807777948402,EPANNs finetuned AS-EV v2,piercer,-2.9412434845047564,-73.31425955106744,27.248356388498458
hi-lo_electronic_trapezoid_04_6.311_27.360_i0,40.0,130,1,14,0.5384615384615384,0.2028985507246377,0.2947368421052632,0.4596774193548387,0.4923583662714098,0.9710144927536232,0.7971014492753623,0.1739130434782608,0.0,0.0,0.0,14.999999999999996,0.9999999999999998,13.999999999999996,0.9803690603769404,35.33882063882062,1416.41683622543,EPANNs finetuned AS-EV v2,hi-lo,-12.18442174006548,-90.38615536154401,-1.293052808177372
phaser_electronic_trapezoid_08_9.019_28.487_i0,40.0,130,1,9,0.3846153846153846,0.0793650793650793,0.131578947368421,0.4677419354838709,0.4741087691907364,1.0476190476190474,0.9206349206349206,0.1269841269841269,0.0,0.0,0.0,9.999999999999998,0.9999999999999998,8.999999999999998,0.9803690109511544,35.45823095823095,1418.3808929668303,EPANNs finetuned AS-EV v2,phaser,-25.068974895919514,-79.05231013795446,-14.839008772794367
yelp_electronic_square_08_6.044_40.000_i0,40.0,130,1,9,0.9642857142857144,0.2432432432432432,0.3884892086330935,0.3461538461538461,0.5953058321479374,0.7657657657657658,0.7567567567567568,0.009009009009009,0.0,0.0,0.0,9.999999999999998,0.9999999999999998,8.999999999999998,0.9803632683686254,35.359213759213766,1416.42855497543,EPANNs finetuned AS-EV v2,yelp,-24.530480016272797,-85.24568333792959,-10.065010592779393
yelp_electronic_sine_05_3.837_40.000_i0,40.0,130,1,3,1.0,0.940677966101695,0.9694323144104804,0.946153846153846,0.9703389830508476,0.059322033898305,0.059322033898305,0.0,0.0,0.0,0.0,3.999999999999999,0.9999999999999998,3.0,0.9803676720840492,35.48181818181819,1416.41683622543,EPANNs finetuned AS-EV v2,yelp,-9.036287944459223,-84.6437779429269,8.767773608939418
hi-lo_electronic_sine_13_3.932_39.251_i0,40.0,130,1,3,1.0,0.0434782608695652,0.0833333333333333,0.1338582677165354,0.5217391304347826,0.9565217391304348,0.9565217391304348,0.0,0.0,0.0,0.0,3.999999999999999,0.9999999999999998,3.0,0.9803573419708344,35.70687960687962,1418.3810081388206,EPANNs finetuned AS-EV v2,hi-lo,-21.842480120775885,-87.9692874016884,3.862686098795447
